hash,from,to,value,blockNumber,timeStamp,nonce,gas,gasPrice,gasUsed,isError,txreceipt_status,input,blockHash,contractAddress,tokenID,tokenName,tokenSymbol,tokenDecimal,transactionIndex,cumulativeGasUsed,methodId,functionName,confirmations,tx_type,L1Gas,L1GasPrice,L1FeeScalar,L1FeesPaid
0x8123f5751697eeefef91d644f48f557cb10c714a34ace7ead4f03075b370bef2,0xe4c69af018b2ea9e575026c0472b6531a2bc382f,0x67d6f959519731ea3402f23767585991f04cdb67,,3238836,1693267019,566,15000000,144163208,4603458,,,deprecated,0xa283cb1c3b0782e249ee12706ff20c904fb7bc1ce542ee5c52aed2f241afb40b,0xebf418fe2512e7e6bd9b87a8f0f294acdc67e6b4,4846,veNFT,veNFT,18,10,6130802,0x4bd09c2a,"distributeTokens(address[] _wallets,uint256[] _amounts)",37531757,nft,,,,
0x15660d60d7493ad78f1bec695dce9232e970bfd7a45f856649c8ffc1b3a49c09,0x6cdcb1c4a4d1c3c6d054b27ac5b77e89eafb971d,0x67d6f959519731ea3402f23767585991f04cdb67,484901580180632604566,21171981,1729133309,1,676673,5686822,507097,,,deprecated,0xf366a9541ffa09fe5348f60f6ed030a3bdf82334677960d52e9032e31a36cda6,0x940181a94a35a4569e4529a3cdfb74e38fd98631,,Aerodrome,AERO,18,60,12430095,0x24856bc3,"execute(bytes commands,bytes[] inputs)",19598600,token,,,,
0xbc0790d7e0a9240a003b070c4fe300d82623c65961baf8f750885b57ab568b78,0x67d6f959519731ea3402f23767585991f04cdb67,0x82321f3beb69f503380d6b233857d5c43562e2d0,460914823009460869821,21172030,1729133407,3,558372,5703088,419006,,,deprecated,0x0021157833f8063f2bfb2b4703e5271b0d71efa41e1c0293cc6fa1b01a1bd879,0x940181a94a35a4569e4529a3cdfb74e38fd98631,,Aerodrome,AERO,18,41,8308571,0xb5007d1f,mint(tuple params),19598551,token,,,,
0xbc0790d7e0a9240a003b070c4fe300d82623c65961baf8f750885b57ab568b78,0x0000000000000000000000000000000000000000,0x67d6f959519731ea3402f23767585991f04cdb67,,21172030,1729133407,3,558372,5703088,419006,,,deprecated,0x0021157833f8063f2bfb2b4703e5271b0d71efa41e1c0293cc6fa1b01a1bd879,0x827922686190790b37229fd06084350e74485b72,1470815,Slipstream Position NFT v1,AERO-CL-POS,0,41,8308571,0xb5007d1f,mint(tuple params),19598563,nft,,,,
0x2b231821a1d7be312413262c56253d26381e8953534d19174e73a8d5ffe40ece,0x82321f3beb69f503380d6b233857d5c43562e2d0,0x67d6f959519731ea3402f23767585991f04cdb67,18565974146129534,21172096,1729133539,5,591107,5650893,408098,,,deprecated,0xe8f7069e725bbd65d15d84d13f0b108b2bbb38454afc98a11b6e5c999cc67635,0x940181a94a35a4569e4529a3cdfb74e38fd98631,,Aerodrome,AERO,18,97,19138752,0xb6b55f25,deposit(uint256 amount),19598485,token,,,,
0x2b231821a1d7be312413262c56253d26381e8953534d19174e73a8d5ffe40ece,0x67d6f959519731ea3402f23767585991f04cdb67,0xde8ff0d3e8ab225110b088a250b546015c567e27,,21172096,1729133539,5,591107,5650893,408098,,,deprecated,0xe8f7069e725bbd65d15d84d13f0b108b2bbb38454afc98a11b6e5c999cc67635,0x827922686190790b37229fd06084350e74485b72,1470815,Slipstream Position NFT v1,AERO-CL-POS,0,97,19138752,0xb6b55f25,deposit(uint256 amount),19598497,nft,,,,
0x68cb371b314d40eccb566421c16420e092f3b13e37972424d2a515d5c6dc4d25,0x0000000000000000000000000000000000000000,0x67d6f959519731ea3402f23767585991f04cdb67,,21172319,1729133985,8,558608,5378222,431212,,,deprecated,0x4002abac9fb651ca3a97f47de7b9fe3b368a983790c6e3af734f8a965bdf6240,0x827922686190790b37229fd06084350e74485b72,1470995,Slipstream Position NFT v1,AERO-CL-POS,0,100,14003599,0xb5007d1f,mint(tuple params),19598274,nft,,,,
0x857fb2a4c9b465864d39216c2a5607ceabe1445906cc6a73d4665d9224b85f36,0x67d6f959519731ea3402f23767585991f04cdb67,0x1c664940858dcea1e5a3b87951f1f74911102cb5,,21172370,1729134087,10,591065,5222713,408064,,,deprecated,0x528b8718c74eb91ffc3957ddccce047a7db7efe040280e57a0518cbaac399438,0x827922686190790b37229fd06084350e74485b72,1470995,Slipstream Position NFT v1,AERO-CL-POS,0,99,9867955,0xb6b55f25,deposit(uint256 amount),19598223,nft,,,,
0xa432a25f9cfe125bcac3414baedc32fa7c4269e577799cfc6d4a1361b39e9dc8,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,0x67d6f959519731ea3402f23767585991f04cdb67,1089257,21172662,1729134671,11,275382,4744578,190184,,,deprecated,0x3230dde7d3edb39e7f413b51ec941668e9fcb48d32d246be547ecc16f72449cb,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,,Coinbase Wrapped BTC,cbBTC,8,87,11346284,0x24856bc3,"execute(bytes commands,bytes[] inputs)",19597919,token,,,,
0x933d7f319023f03aa98519dcdb740a76d3253cc8a9610476d68085790b68d070,0x67d6f959519731ea3402f23767585991f04cdb67,0x70acdf2ad0bf2402c957154f944c19ef4e1cbae1,1069103,21172881,1729135109,15,571825,4672809,433256,,,deprecated,0x8c1fd130bb734e98091f14c128caa21700d48cdb3dd18c07ad3b687eb02bc209,0xcbb7c0000ab88b473b1f5afd9ef808440eed33bf,,Coinbase Wrapped BTC,cbBTC,8,138,9719688,0xb5007d1f,mint(tuple params),19597700,token,,,,
