hash,from,to,value,blockNumber,timeStamp,nonce,gas,gasPrice,gasUsed,isError,txreceipt_status,input,blockHash,contractAddress,tokenID,tokenName,tokenSymbol,tokenDecimal,transactionIndex,cumulativeGasUsed,methodId,functionName,confirmations,tx_type,L1Gas,L1GasPrice,L1FeesPaid,L1FeeScalar
0xc9ad7bc25139a0c61440a160b77473168bc1ce5fdc6808804feb53ad64bea551,0xd152f549545093347a162dce210e7293f1452150,0x67d6f959519731ea3402f23767585991f04cdb67,133700000000000000,25224340,1737238027,149,46693119,13405897,46314270,,,deprecated,0xdb007b04d5d255bdae52cfe6234f0665dd4ae97bdc8deacb43a223c2bf776f20,0x29e39327b5b1e500b87fc0fcae3856cd8f96ed2a,,Bark Ruffalo by Virtuals,PAWSY,18,80,59141484,0xc73a2d60,"disperseToken(address token,address[] recipients,uint256[] values)",15286622,token,,,,
0x9e73c4f6fb76567c8938945aac1e4ab183f371548cd1529cdc0625d168fead2b,0x67d6f959519731ea3402f23767585991f04cdb67,0xf3b3dc27ab04e66a22614440093b68f38514ee6f,1000000000,25863248,1738515843,100836,3600000,27752990,114285,,,deprecated,0xc8d17673dfa2872069688e7c3de17995db91f4da3d7081b93288e0b399f8a8c6,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,,USDC,USDC,6,223,43348786,0xcccbb34c,"batchTransferWithAuthorization(address[] from,address[] to,uint256[] value,uint256[] validAfter,uint256[] validBefore,bytes32[] nonce,uint8[] v,bytes32[] r,bytes32[] s,uint256 _gasLimit)",14647714,token,,,,
0xf76a3749ad9f02630664d3a2e6e777dacf52dcb90316061758ae6c7872d4f32e,0xd152f549545093347a162dce210e7293f1452150,0x67d6f959519731ea3402f23767585991f04cdb67,4200690000000000000,26945470,1740680287,1419,31860306,3502308,31606868,,,deprecated,0x3dc872831bf9e1242e26cf248800e94119b3dd244fe755df4016677f62dc537b,0x4b6104755afb5da4581b81c552da3a25608c73b8,,Ski Mask Kitten,SKITTEN,18,67,48637095,0xc73a2d60,"disperseToken(address token,address[] recipients,uint256[] values)",13565492,token,,,,
0x15893bf98e89932f7bcfa73caf54aedd9bd145041c80c0c6fe5919da326a19a5,0xd152f549545093347a162dce210e7293f1452150,0x67d6f959519731ea3402f23767585991f04cdb67,4200690000000000000,27128876,1741047099,1547,34466997,3752382,34193034,,,deprecated,0xbe9e038de6a7606b0a272fe306691942468d8b5484a686ab09b39acab51dafd0,0x4b6104755afb5da4581b81c552da3a25608c73b8,,Ski Mask Kitten,SKITTEN,18,140,56611075,0xc73a2d60,"disperseToken(address token,address[] recipients,uint256[] values)",13382086,token,,,,
0x3cfbad66495aa5525dc63a529693991515ffb6c8c140a893a4f508eafabd0e64,0xd152f549545093347a162dce210e7293f1452150,0x67d6f959519731ea3402f23767585991f04cdb67,4200690000000000000,27172514,1741134375,1576,19173110,2931737,19019572,,,deprecated,0xce34227aa10383d5b66fc6e759295a69f69213663595d221124379c7320d97d7,0x4b6104755afb5da4581b81c552da3a25608c73b8,,Ski Mask Kitten,SKITTEN,18,64,33141718,0xc73a2d60,"disperseToken(address token,address[] recipients,uint256[] values)",13338448,token,,,,
0x6732d201d0f6e6e8f5345880a2b244a9a9e5b573122ce493430f7ed16ab203d9,0x67d6f959519731ea3402f23767585991f04cdb67,0xf3b3dc27ab04e66a22614440093b68f38514ee6f,5000000,27800933,1742391213,389737,6000000,9019764,184717,,,deprecated,0xf5a88242748628433cab48b50285feb019a93c630ffcfa8d1692b9e76c2f537b,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,,USDC,USDC,6,23,4584596,0xcccbb34c,"batchTransferWithAuthorization(address[] from,address[] to,uint256[] value,uint256[] validAfter,uint256[] validBefore,bytes32[] nonce,uint8[] v,bytes32[] r,bytes32[] s,uint256 _gasLimit)",12710029,token,,,,
0xde9c53fe3a4ae95bf5660f7d4fabd7bec1bbe670058d2861c4ded6971bea53cf,0x67d6f959519731ea3402f23767585991f04cdb67,0xf3b3dc27ab04e66a22614440093b68f38514ee6f,195000000,27800955,1742391257,389738,3600000,9040619,97197,,,deprecated,0x3bc26bf66233c5933a38cfa99b57991167c5e00417ff6a0ca122eaa7ced559c9,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,,USDC,USDC,6,52,16006394,0xcccbb34c,"batchTransferWithAuthorization(address[] from,address[] to,uint256[] value,uint256[] validAfter,uint256[] validBefore,bytes32[] nonce,uint8[] v,bytes32[] r,bytes32[] s,uint256 _gasLimit)",12710007,token,,,,
0x608168b1157f09adf7c073ed2d8fe7d59f79d61507ca26f286a8ff4316413c26,0x67d6f959519731ea3402f23767585991f04cdb67,0xf3b3dc27ab04e66a22614440093b68f38514ee6f,1132000000,27993360,1742776067,395788,3600000,5623335,114285,,,deprecated,0xf5c4482cbcfbe6b5b943fc3523a9db1cc6af0850482e24945f1be87cd80c8827,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,,USDC,USDC,6,13,3266140,0xcccbb34c,"batchTransferWithAuthorization(address[] from,address[] to,uint256[] value,uint256[] validAfter,uint256[] validBefore,bytes32[] nonce,uint8[] v,bytes32[] r,bytes32[] s,uint256 _gasLimit)",12517604,token,,,,
0x8b755b059669454f65919b6a500bafdf7cedef42bc85d8ec85f784fad66c3ef1,0x67d6f959519731ea3402f23767585991f04cdb67,0xf3b3dc27ab04e66a22614440093b68f38514ee6f,473000000,28084463,1742958273,398985,3600000,5966938,114297,,,deprecated,0x9b5692cd4e5888bafd0f3bb3c7baaa9a6ae6c00e8097ed6e33872577397a3d15,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,,USDC,USDC,6,23,3827885,0xcccbb34c,"batchTransferWithAuthorization(address[] from,address[] to,uint256[] value,uint256[] validAfter,uint256[] validBefore,bytes32[] nonce,uint8[] v,bytes32[] r,bytes32[] s,uint256 _gasLimit)",12426501,token,,,,
0xeea873d4acd50c02a0a5c171a71fa6477663b50373748ae5e22d42ad7460a310,0x67d6f959519731ea3402f23767585991f04cdb67,0xf3b3dc27ab04e66a22614440093b68f38514ee6f,5325000000,28192327,1743174001,402779,3600000,5938796,114285,,,deprecated,0xbd7d1ab4fd7d7252b66283062e9f2e00092b333a1afc3a2c44a8e681c42fa777,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,,USDC,USDC,6,18,6723511,0xcccbb34c,"batchTransferWithAuthorization(address[] from,address[] to,uint256[] value,uint256[] validAfter,uint256[] validBefore,bytes32[] nonce,uint8[] v,bytes32[] r,bytes32[] s,uint256 _gasLimit)",12318637,token,,,,
