hash,tx_type,blockNumber,timeStamp,timeStamp_iso,direction,protocol,activity_type,native_amount_eth,token_contract,token_symbol,token_name,token_decimals,token_amount,gas,gasPrice,gasUsed,tx_fee_eth,token_in_assets,token_out_assets
0x8123f5751697eeefef91d644f48f557cb10c714a34ace7ead4f03075b370bef2,tx_grouped,3238836,1693267019,2023-08-28T23:56:59+00:00,in,,CLAIM_REWARD,,,,,,,,,,,,
0x7b0db1f921addd65869eb210d991b0bc39f0dd81523fc0fe441ed22747f106d5,tx_grouped,12932866,1712655079,2024-04-09T09:31:19+00:00,in,,NA,,,,,,,,,,,Collect on: swap-based.com:250000,
0x1dc77ebbcbf435c1a41bebe9c34b377cadef0195f8085787444342a325eada25,tx_grouped,15453984,1717697315,2024-06-06T18:08:35+00:00,in,,APPROVAL,,,,,,,,,,,POV:17420.7,
0x8abf977e0cd7e2e4a16e92b38aabcf3537b2fc8c4b7771c847e3bd437f6f9fa5,tx_grouped,21161295,1729111937,2024-10-16T20:52:17+00:00,in,,NA,0.00762028,,,,,,21000,5793196,21000,1.21657116e-07,ETH:0.00762028,
0x7fd284775d14b9d907782ce66c4adc62f66a84e51c09c1601a63b8c604a5351d,tx_grouped,21161387,1729112121,2024-10-16T20:55:21+00:00,in,,NA,6.09715434,,,,,,21000,6083992,21000,1.27763832e-07,ETH:6.09715,
0xf64c710efb36aa500296deddf75eb2b79b602d15541fc9d9f0fe0bf5c6de8a07,tx_grouped,21171619,1729132585,2024-10-17T02:36:25+00:00,out,,NA,0.0,,,,,,582051,5771278,459405,2.65135396959e-06,,ETH:0
0x15660d60d7493ad78f1bec695dce9232e970bfd7a45f856649c8ffc1b3a49c09,tx_grouped,21171981,1729133309,2024-10-17T02:48:29+00:00,out,,SWAP,0.25,,,,,,676673,5686822,507097,2.883770375734e-06,AERO:484.902,ETH:0.25
0xb10f2ebdb658f8cdd278163c4cd6adf382cee0a7cdd98807e596256588c786ad,tx_grouped,21172020,1729133387,2024-10-17T02:49:47+00:00,out,,APPROVAL,0.0,,,,,,58405,5698748,46341,2.64085681068e-07,,ETH:0
0xbc0790d7e0a9240a003b070c4fe300d82623c65961baf8f750885b57ab568b78,tx_grouped,21172030,1729133407,2024-10-17T02:50:07+00:00,out,,APPROVAL,2.0,,,,,,558372,5703088,419006,2.389628090528e-06,,AERO:460.915 | ETH:2
0xa7cce075271ac8fba3e92cc493b49f485831d1596b61daf6869a99a889064e21,tx_grouped,21172092,1729133531,2024-10-17T02:52:11+00:00,out,,APPROVAL,0.0,,,,,,68316,5658815,53856,3.0476114064e-07,,ETH:0
0x2b231821a1d7be312413262c56253d26381e8953534d19174e73a8d5ffe40ece,tx_grouped,21172096,1729133539,2024-10-17T02:52:19+00:00,out,,CLAIM_REWARD,0.0,,,,,,591107,5650893,408098,2.306118131514e-06,AERO:0.018566,ETH:0
0x4f228b43eea0520f8c290baf1bc3f70daae6f80cfd8fc80008d18046d78c770c,tx_grouped,21172294,1729133935,2024-10-17T02:58:55+00:00,out,,SWAP,0.28,,,,,,232195,5465121,157854,8.62691210334e-07,WIF:279.791,ETH:0.28
0xe169c668711285da06fd0239b7bd3d94ce7043ed2f6edb222c9a2655ef724ac8,tx_grouped,21172308,1729133963,2024-10-17T02:59:23+00:00,out,,APPROVAL,0.0,,,,,,58367,5415572,46311,2.50800554892e-07,,ETH:0
0x68cb371b314d40eccb566421c16420e092f3b13e37972424d2a515d5c6dc4d25,tx_grouped,21172319,1729133985,2024-10-17T02:59:45+00:00,out,,APPROVAL,0.2,,,,,,558608,5378222,431212,2.319153865064e-06,,ETH:0.2 | WIF:277.281
0x28e2b0d23cb52a8d7e5855db79fa8c73154e4fd85fe4475d8dad51f2491ee0dd,tx_grouped,21172365,1729134077,2024-10-17T03:01:17+00:00,out,,APPROVAL,0.0,,,,,,68316,5242702,53856,2.82350958912e-07,,ETH:0
0x857fb2a4c9b465864d39216c2a5607ceabe1445906cc6a73d4665d9224b85f36,tx_grouped,21172370,1729134087,2024-10-17T03:01:27+00:00,out,,CLAIM_REWARD,0.0,,,,,,591065,5222713,408064,2.131201157632e-06,WIF:0.00309083,ETH:0
0xa432a25f9cfe125bcac3414baedc32fa7c4269e577799cfc6d4a1361b39e9dc8,tx_grouped,21172662,1729134671,2024-10-17T03:11:11+00:00,out,,SWAP,0.28,,,,,,275382,4744578,190184,9.02342822352e-07,cbBTC:0.0108926,ETH:0.28
0x0de6dae4fad8a17e895dba44c7d56d4c03f0f146db3f1632fcbf30d28c974c58,tx_grouped,21172700,1729134747,2024-10-17T03:12:27+00:00,out,,APPROVAL,0.0,,,,,,75966,4689615,59952,2.8115179848e-07,,ETH:0
0x6cee62bcae2709fb206c6f55046d34ff2a66da490d10a7e11bd746593252740c,tx_grouped,21172796,1729134939,2024-10-17T03:15:39+00:00,out,,NA,0.4,,,,,,571810,4754993,210043,9.98752994699e-07,,ETH:0.4
0x186ed685d5f5b9f5bf8a7441dc3a99503e1ff32fdd65e86012574322b91cd56a,tx_grouped,21172837,1729135021,2024-10-17T03:17:01+00:00,out,,APPROVAL,0.0,,,,,,54035,4730553,42852,2.02713657156e-07,,ETH:0
0x933d7f319023f03aa98519dcdb740a76d3253cc8a9610476d68085790b68d070,tx_grouped,21172881,1729135109,2024-10-17T03:18:29+00:00,out,,NA,0.39,,,,,,571825,4672809,433256,2.024522536104e-06,,ETH:0.39 | cbBTC:0.010691
0xe717a2fe9e935ce0e4ed04205bc0af2eb0714673f4c5e7ce011ee43284b0283a,tx_grouped,21172943,1729135233,2024-10-17T03:20:33+00:00,out,,APPROVAL,0.0,,,,,,68316,4593135,53856,2.4736787856e-07,,ETH:0
0x37b712b28848a0e2f2c8120e40031602a919cbc4b27c64323a80d6b72ce15dba,tx_grouped,21172954,1729135255,2024-10-17T03:20:55+00:00,out,,CLAIM_REWARD,0.0,,,,,,587486,4592313,427146,1.961588128698e-06,cbBTC:1.8e-07,ETH:0
0xcf9dcc686022769d86eb6eb29e63c90b0b515f2e369425ad86a6686cfa781b45,tx_grouped,21173201,1729135749,2024-10-17T03:29:09+00:00,out,,SWAP,1.3,,,,,,283631,4270495,196630,8.3970743185e-07,uSOL:21.8928,ETH:1.3
